valeur_fonciere,code_postal,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur
187500.0,31600,Appartement,96.0,4.0,0.0,0
62411.0,31600,Appartement,71.0,4.0,0.0,0
95000.0,31600,Appartement,41.0,2.0,0.0,0
110000.0,31600,Appartement,50.0,3.0,0.0,0
122000.0,31600,Appartement,68.0,3.0,0.0,0
43597.04,31600,Appartement,31.0,1.0,0.0,0
88500.0,31600,Appartement,42.0,2.0,0.0,0
84460.0,31600,Appartement,36.0,2.0,0.0,0
137000.0,31600,Appartement,91.0,4.0,0.0,0
108650.0,31600,Appartement,40.0,2.0,0.0,0
47000.0,31600,Appartement,23.0,1.0,0.0,0
91200.0,31600,Appartement,77.0,4.0,0.0,0
125000.0,31600,Appartement,52.0,3.0,0.0,0
55000.0,31600,Appartement,53.0,3.0,0.0,0
83000.0,31600,Appartement,45.0,3.0,0.0,0
65150.0,31600,Appartement,28.0,1.0,0.0,0
73000.0,31600,Appartement,26.0,1.0,0.0,0
158000.0,31600,Appartement,84.0,4.0,0.0,0
88780.0,31600,Appartement,41.0,2.0,0.0,0
103000.0,31600,Appartement,44.0,2.0,0.0,0
112800.0,31600,Appartement,60.0,3.0,0.0,0
77000.0,31600,Appartement,39.0,2.0,0.0,0
138000.0,31600,Appartement,61.0,3.0,0.0,0
133800.0,31600,Appartement,61.0,3.0,0.0,0
58000.0,31600,Appartement,23.0,1.0,0.0,0
100000.0,31600,Appartement,43.0,2.0,0.0,0
132093.0,31600,Appartement,55.0,3.0,0.0,0
70000.0,31600,Appartement,28.0,1.0,0.0,0
118000.0,31600,Appartement,55.0,3.0,0.0,0
99000.0,31600,Appartement,88.0,4.0,0.0,0
135000.0,31600,Appartement,64.0,3.0,0.0,0
32000.0,31600,Appartement,53.0,3.0,0.0,0
117500.0,31600,Appartement,61.0,3.0,0.0,0
114750.0,31600,Appartement,75.0,4.0,0.0,0
120000.0,31600,Appartement,64.0,4.0,0.0,0
69000.0,31600,Appartement,31.0,2.0,0.0,0
100000.0,31600,Appartement,68.0,3.0,0.0,0
117100.0,31600,Appartement,50.0,2.0,0.0,0
125000.0,31600,Appartement,41.0,2.0,0.0,0
115000.0,31600,Appartement,43.0,1.0,0.0,0
99850.0,31600,Appartement,42.0,2.0,0.0,0
150000.0,31600,Appartement,62.0,3.0,0.0,0
216132.5,31600,Appartement,77.0,4.0,0.0,0
71000.0,31600,Appartement,36.0,2.0,0.0,0
101100.0,31600,Appartement,48.0,2.0,0.0,0
120000.0,31600,Appartement,58.0,3.0,0.0,0
169950.0,31600,Appartement,55.0,3.0,0.0,0
144000.0,31600,Appartement,62.0,3.0,0.0,0
