valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain
110500.0,31170,Tournefeuille,Appartement,38.0,2.0,None,0.0
826150.0,31170,Tournefeuille,Maison,200.0,8.0,sols,579.0
317800.0,31170,Tournefeuille,Maison,86.0,4.0,None,0.0
807500.0,31170,Tournefeuille,Maison,180.0,6.0,terrains d'agrément,440.0
393800.0,31170,Tournefeuille,Maison,96.0,5.0,sols,634.0
573201.0,31170,Tournefeuille,Maison,89.0,4.0,sols,577.0
110000.0,31170,Tournefeuille,Appartement,44.0,2.0,None,0.0
138700.0,31170,Tournefeuille,Appartement,47.0,2.0,None,0.0
133800.0,31170,Tournefeuille,Appartement,64.0,3.0,None,0.0
386240.0,31170,Tournefeuille,Maison,98.0,4.0,sols,741.0
212000.0,31170,Tournefeuille,Maison,76.0,3.0,sols,1024.0
235000.0,31170,Tournefeuille,Maison,71.0,3.0,None,0.0
412000.0,31170,Tournefeuille,Maison,114.0,4.0,sols,410.0
949795.0,31170,Tournefeuille,Maison,235.0,11.0,sols,1170.0
128000.0,31170,Tournefeuille,Appartement,41.0,2.0,None,0.0
636600.0,31170,Tournefeuille,Maison,146.0,7.0,sols,616.0
229880.0,31170,Tournefeuille,Maison,69.0,3.0,None,0.0
222574.0,31170,Tournefeuille,Maison,136.0,6.0,sols,650.0
245000.0,31170,Tournefeuille,Maison,91.0,5.0,sols,399.0
467300.0,31170,Tournefeuille,Maison,128.0,5.0,sols,951.0
494500.0,31170,Tournefeuille,Maison,128.0,6.0,terrains d'agrément,255.0
370500.0,31170,Tournefeuille,Maison,97.0,4.0,sols,416.0
150000.0,31170,Tournefeuille,Appartement,41.0,2.0,None,0.0
787770.0,31170,Tournefeuille,Maison,165.0,5.0,sols,1009.0
195000.0,31170,Tournefeuille,Appartement,63.0,3.0,None,0.0
141120.0,31170,Tournefeuille,Appartement,44.0,2.0,None,0.0
453000.0,31170,Tournefeuille,Maison,113.0,5.0,sols,875.0
364300.0,31170,Tournefeuille,Maison,115.0,5.0,sols,406.0
230000.0,31170,Tournefeuille,Maison,98.0,5.0,sols,327.0
612300.0,31170,Tournefeuille,Maison,101.0,5.0,sols,613.0
345000.0,31170,Tournefeuille,Maison,109.0,4.0,sols,629.0
183000.0,31170,Tournefeuille,Appartement,59.0,3.0,None,0.0
155000.0,31170,Tournefeuille,Appartement,62.0,3.0,None,0.0
245500.0,31170,Tournefeuille,Maison,90.0,4.0,None,0.0
359930.0,31170,Tournefeuille,Maison,108.0,5.0,sols,537.0
300000.0,31170,Tournefeuille,Maison,85.0,4.0,sols,100.0
158500.0,31170,Tournefeuille,Appartement,45.0,2.0,None,0.0
261050.0,31170,Tournefeuille,Appartement,85.0,4.0,None,0.0
329100.0,31170,Tournefeuille,Appartement,98.0,3.0,None,0.0
742000.0,31170,Tournefeuille,Maison,188.0,7.0,sols,1496.0
679200.0,31170,Tournefeuille,Maison,174.0,6.0,terrains d'agrément,302.0
142650.0,31170,Tournefeuille,Appartement,44.0,2.0,None,0.0
215000.0,31170,Tournefeuille,Maison,77.0,4.0,sols,259.0
631200.0,31170,Tournefeuille,Maison,157.0,7.0,sols,1201.0
321540.0,31170,Tournefeuille,Maison,90.0,4.0,sols,447.0
145000.0,31170,Tournefeuille,Appartement,60.0,3.0,None,0.0
94400.0,31170,Tournefeuille,Appartement,26.0,1.0,None,0.0
290000.0,31170,Tournefeuille,Maison,82.0,4.0,sols,385.0
135000.0,31170,Tournefeuille,Appartement,39.0,2.0,None,0.0
760000.0,31170,Tournefeuille,Maison,273.0,6.0,sols,1748.0
90000.0,31170,Tournefeuille,Maison,67.0,3.0,sols,333.0
103500.0,31170,Tournefeuille,Appartement,36.0,2.0,None,0.0
359500.0,31170,Tournefeuille,Appartement,84.0,5.0,None,0.0
291500.0,31170,Tournefeuille,Maison,90.0,4.0,sols,769.0
326320.0,31170,Tournefeuille,Maison,79.0,4.0,sols,622.0
320000.0,31170,Tournefeuille,Maison,115.0,5.0,sols,507.0
291350.0,31170,Tournefeuille,Appartement,72.0,3.0,None,0.0
319500.0,31170,Tournefeuille,Maison,103.0,4.0,sols,613.0
472880.0,31170,Tournefeuille,Maison,127.0,5.0,sols,701.0
415000.0,31170,Tournefeuille,Maison,137.0,5.0,sols,607.0
345000.0,31170,Tournefeuille,Maison,100.0,4.0,sols,754.0
300000.0,31170,Tournefeuille,Maison,102.0,5.0,sols,235.0
366000.0,31170,Tournefeuille,Maison,114.0,4.0,None,0.0
181000.0,31170,Tournefeuille,Appartement,60.0,2.0,None,0.0
158000.0,31170,Tournefeuille,Appartement,59.0,3.0,None,0.0
311700.0,31170,Tournefeuille,Maison,88.0,4.0,sols,547.0
261100.0,31170,Tournefeuille,Appartement,64.0,3.0,None,0.0
593270.0,31170,Tournefeuille,Maison,165.0,6.0,sols,741.0
162800.0,31170,Tournefeuille,Appartement,74.0,3.0,None,0.0
536500.0,31170,Tournefeuille,Maison,119.0,3.0,sols,510.0
364145.0,31170,Tournefeuille,Maison,145.0,5.0,sols,800.0
268400.0,31170,Tournefeuille,Maison,90.0,4.0,None,0.0
227000.0,31170,Tournefeuille,Appartement,67.0,3.0,None,0.0
397600.0,31170,Tournefeuille,Maison,119.0,5.0,sols,607.0
695000.0,31170,Tournefeuille,Maison,175.0,5.0,None,0.0
561500.0,31170,Tournefeuille,Maison,140.0,8.0,sols,1000.0
329600.0,31170,Tournefeuille,Maison,118.0,5.0,sols,552.0
155000.0,31170,Tournefeuille,Appartement,44.0,2.0,None,0.0
307032.0,31170,Tournefeuille,Maison,117.0,5.0,sols,504.0
460000.0,31170,Tournefeuille,Maison,99.0,4.0,sols,1328.0
292000.0,31170,Tournefeuille,Maison,104.0,5.0,sols,322.0
200000.0,31170,Tournefeuille,Maison,76.0,4.0,sols,823.0
532050.0,31170,Tournefeuille,Maison,133.0,6.0,sols,466.0
284900.0,31170,Tournefeuille,Maison,95.0,5.0,sols,508.0
100000.0,31170,Tournefeuille,Appartement,33.0,1.0,None,0.0
265000.0,31170,Tournefeuille,Maison,86.0,4.0,None,0.0
140000.0,31170,Tournefeuille,Maison,59.0,3.0,sols,834.0
204940.0,31170,Tournefeuille,Appartement,70.0,2.0,None,0.0
10000.0,31550,Marliac,Maison,38.0,1.0,sols,57.0
200000.0,31550,Marliac,Maison,101.0,4.0,sols,1278.0
120000.0,31360,Proupiary,Maison,168.0,4.0,sols,902.0
163000.0,31360,Proupiary,Maison,120.0,4.0,sols,1752.0
35642.0,31450,Espanès,Maison,70.0,1.0,sols,2597.0
