valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain,year,prix_mcarre
315000.0,31790,Saint-Sauveur,Maison,125.0,5.0,sols,482.0,2022,2520.0
409670.0,31790,Saint-Sauveur,Maison,160.0,4.0,sols,1161.0,2022,2560.4375
357350.0,31790,Saint-Sauveur,Maison,158.0,6.0,sols,1095.0,2022,2261.7088607594937
353300.0,31790,Saint-Sauveur,Maison,114.0,5.0,sols,862.0,2022,3099.122807017544
500000.0,31790,Saint-Sauveur,Maison,255.0,5.0,sols,1200.0,2022,1960.7843137254902
399720.0,31790,Saint-Sauveur,Maison,136.0,5.0,sols,742.0,2022,2939.1176470588234
302000.0,31790,Saint-Sauveur,Maison,91.0,4.0,sols,759.0,2022,3318.6813186813188
313900.0,31790,Saint-Sauveur,Maison,77.0,3.0,sols,2743.0,2022,4076.6233766233768
358400.0,31790,Saint-Sauveur,Maison,102.0,4.0,sols,967.0,2022,3513.725490196078
266400.0,31790,Saint-Sauveur,Maison,77.0,3.0,sols,1259.0,2022,3459.7402597402597
359350.0,31790,Saint-Sauveur,Maison,90.0,4.0,sols,996.0,2022,3992.777777777778
398280.0,31790,Saint-Sauveur,Maison,117.0,6.0,sols,1923.0,2022,3404.102564102564
145000.0,31790,Saint-Sauveur,Maison,86.0,4.0,sols,40.0,2022,1686.046511627907
100000.0,31790,Saint-Sauveur,Maison,51.0,3.0,sols,381.0,2022,1960.7843137254902
240000.0,31790,Saint-Sauveur,Maison,88.0,6.0,terres,1030.0,2022,2727.2727272727275
155000.0,31790,Saint-Sauveur,Maison,99.0,5.0,sols,931.0,2022,1565.6565656565656
190000.0,31790,Saint-Sauveur,Maison,68.0,3.0,,0.0,2022,2794.1176470588234
219030.0,31790,Saint-Sauveur,Maison,72.0,3.0,sols,40.0,2022,3042.0833333333335
360500.0,31790,Saint-Sauveur,Maison,90.0,4.0,sols,593.0,2022,4005.5555555555557
155500.0,31790,Saint-Sauveur,Maison,65.0,3.0,sols,87.0,2022,2392.3076923076924
55000.0,31370,Forgues,Maison,97.0,4.0,sols,1100.0,2023,567.0103092783505
349900.0,31370,Forgues,Maison,158.0,3.0,sols,1137.0,2023,2214.5569620253164
358000.0,31570,Lanta,Maison,139.0,5.0,terrains d'agrément,2200.0,2023,2575.539568345324
195000.0,31570,Lanta,Maison,158.0,5.0,sols,3009.0,2023,1234.1772151898733
365200.0,31570,Lanta,Maison,101.0,4.0,terrains d'agrément,912.0,2023,3615.841584158416
173000.0,31570,Lanta,Maison,60.0,3.0,sols,1017.0,2023,2883.3333333333335
342000.0,31570,Lanta,Maison,103.0,4.0,sols,1207.0,2023,3320.3883495145633
245200.0,31570,Lanta,Maison,90.0,4.0,sols,263.0,2023,2724.4444444444443
511897.0,31570,Lanta,Maison,131.0,5.0,sols,868.0,2023,3907.610687022901
117000.0,31570,Lanta,Maison,47.0,2.0,sols,42.0,2023,2489.3617021276596
454000.0,31570,Lanta,Maison,124.0,5.0,sols,1022.0,2023,3661.2903225806454
370000.0,31570,Lanta,Maison,92.0,4.0,,0.0,2023,4021.7391304347825
360100.0,31570,Lanta,Maison,95.0,4.0,sols,614.0,2023,3790.5263157894738
418700.0,31570,Lanta,Maison,104.0,4.0,sols,648.0,2023,4025.9615384615386
140000.0,31570,Lanta,Maison,157.0,5.0,sols,245.0,2023,891.71974522293
441261.0,31570,Lanta,Maison,119.0,4.0,sols,630.0,2023,3708.075630252101
417885.0,31570,Lanta,Maison,170.0,7.0,sols,1144.0,2023,2458.1470588235293
210000.0,31570,Lanta,Maison,95.0,4.0,sols,1569.0,2023,2210.5263157894738
483750.0,31570,Lanta,Maison,163.0,6.0,sols,1000.0,2023,2967.7914110429447
46000.0,31570,Lanta,Maison,182.0,5.0,terres,1441.0,2023,252.74725274725276
280870.0,31570,Lanta,Maison,90.0,4.0,sols,456.0,2023,3120.777777777778
240000.0,31570,Lanta,Maison,122.0,5.0,sols,552.0,2023,1967.2131147540983
200000.0,31460,Mourvilles-Basses,Maison,90.0,9.0,sols,4104.0,2022,2222.222222222222
125000.0,31350,Sarrecave,Maison,98.0,3.0,prés,2531.0,2022,1275.5102040816328
152000.0,31430,Casties-Labrande,Maison,73.0,2.0,sols,1520.0,2022,2082.1917808219177
