valeur_fonciere,code_postal,surface_reelle_bati,nombre_pieces_principales,surface_terrain,exterieur
202000.0,31700.0,85.0,4.0,0.0,0
319556.0,31700.0,88.0,5.0,1950.0,1
358300.0,31700.0,93.0,4.0,571.0,1
175000.0,31700.0,80.0,4.0,0.0,0
254260.0,31700.0,80.0,4.0,0.0,0
428742.0,31700.0,115.0,4.0,567.0,1
302000.0,31700.0,113.0,4.0,654.0,1
176000.0,31700.0,68.0,3.0,256.0,1
243993.7,31700.0,81.0,3.0,0.0,0
509000.0,31700.0,146.0,5.0,1031.0,1
521800.0,31700.0,169.0,6.0,834.0,1
385000.0,31700.0,124.0,5.0,747.0,1
460000.0,31700.0,92.0,4.0,1027.0,1
248000.0,31700.0,82.0,4.0,0.0,0
324975.0,31700.0,82.0,5.0,500.0,1
345000.0,31700.0,94.0,4.0,903.0,1
281000.0,31700.0,63.0,3.0,1134.0,1
234550.0,31700.0,80.0,4.0,0.0,0
233650.0,31700.0,82.0,4.0,0.0,0
236000.0,31700.0,80.0,4.0,0.0,0
254700.0,31700.0,81.0,4.0,0.0,0
355800.0,31700.0,90.0,4.0,1037.0,1
150000.0,31700.0,89.0,4.0,0.0,0
185000.0,31700.0,119.0,4.0,0.0,0
200000.0,31700.0,84.0,4.0,0.0,0
380000.0,31700.0,70.0,4.0,855.0,1
205000.0,31700.0,69.0,3.0,157.0,1
342130.0,31700.0,94.0,3.0,949.0,1
145000.0,31700.0,111.0,4.0,624.0,1
187000.0,31700.0,80.0,4.0,0.0,0
170000.0,31700.0,65.0,3.0,0.0,0
510600.0,31700.0,139.0,6.0,1160.0,1
309000.0,31700.0,88.0,4.0,0.0,0
340000.0,31700.0,62.0,2.0,1400.0,1
260600.0,31700.0,78.0,4.0,0.0,0
358700.0,31700.0,148.0,7.0,1166.0,1
255000.0,31700.0,84.0,4.0,164.0,1
230000.0,31700.0,89.0,5.0,0.0,0
606800.0,31700.0,150.0,6.0,1000.0,1
110000.0,31700.0,47.0,2.0,265.0,1
244600.0,31700.0,65.0,3.0,0.0,0
264000.0,31700.0,80.0,4.0,0.0,0
433500.0,31700.0,135.0,4.0,1794.0,1
500400.0,31700.0,123.0,5.0,758.0,1
425030.0,31700.0,121.0,5.0,685.0,1
374956.0,31700.0,230.0,6.0,946.0,1
458150.0,31700.0,120.0,5.0,212.0,1
260000.0,31700.0,85.0,5.0,225.0,1
356808.5,31700.0,94.0,4.0,450.0,1
247250.0,31700.0,80.0,4.0,0.0,0
100000.0,31700.0,44.0,2.0,0.0,0
188000.0,31700.0,82.0,4.0,0.0,0
181000.0,31700.0,66.0,3.0,0.0,0
304000.0,31700.0,97.0,4.0,1352.0,1
243450.0,31700.0,82.0,4.0,0.0,0
215180.0,31700.0,73.0,3.0,146.0,1
350000.0,31700.0,144.0,5.0,2598.0,1
501800.0,31700.0,125.0,4.0,1433.0,1
215000.0,31700.0,84.0,4.0,0.0,0
151813.0,31700.0,44.0,2.0,0.0,0
253000.0,31700.0,86.0,4.0,406.0,1
503616.0,31320.0,134.0,4.0,601.0,1
330000.0,31120.0,109.0,5.0,8.0,1
339914.0,31120.0,106.0,3.0,575.0,1
218150.0,31120.0,82.0,4.0,222.0,1
299820.0,31120.0,129.0,4.0,716.0,1
257000.0,31120.0,101.0,5.0,268.0,1
249000.0,31120.0,94.0,5.0,956.0,1
215000.0,31120.0,66.0,3.0,0.0,0
250000.0,31120.0,90.0,4.0,1241.0,1
198200.0,31120.0,77.0,4.0,292.0,1
243047.62,31120.0,95.0,4.0,514.0,1
170000.0,31120.0,73.0,3.0,400.0,1
202400.0,31120.0,69.0,3.0,0.0,0
245000.0,31120.0,109.0,5.0,500.0,1
245000.0,31120.0,127.0,5.0,604.0,1
300000.0,31120.0,160.0,4.0,351.0,1
215000.0,31120.0,81.0,4.0,0.0,0
146800.0,31120.0,55.0,3.0,179.0,1
270300.0,31120.0,101.0,5.0,289.0,1
257000.0,31120.0,97.0,4.0,308.0,1
207000.0,31120.0,59.0,3.0,0.0,0
394500.0,31120.0,142.0,4.0,1164.0,1
319237.0,31120.0,113.0,5.0,157.0,1
300000.0,31120.0,146.0,5.0,961.0,1
285000.0,31120.0,135.0,4.0,1029.0,1
440100.0,31120.0,125.0,4.0,693.0,1
180000.0,31120.0,90.0,4.0,0.0,0
160000.0,31120.0,49.0,3.0,412.0,1
344850.0,31120.0,100.0,4.0,725.0,1
434000.0,31120.0,154.0,5.0,1000.0,1
233272.0,31120.0,81.0,4.0,0.0,0
247300.0,31120.0,94.0,4.0,629.0,1
265000.0,31120.0,131.0,5.0,554.0,1
275000.0,31120.0,84.0,4.0,504.0,1
411020.0,31120.0,142.0,5.0,629.0,1
259050.0,31120.0,79.0,4.0,278.0,1
305000.0,31120.0,112.0,4.0,700.0,1
248500.0,31120.0,81.0,4.0,0.0,0
320000.0,31120.0,147.0,7.0,851.0,1
306500.0,31120.0,109.0,5.0,616.0,1
215000.0,31120.0,80.0,4.0,0.0,0
165000.0,31120.0,60.0,3.0,102.0,1
239100.0,31120.0,82.0,4.0,249.0,1
324850.0,31120.0,108.0,7.0,202.0,1
230650.0,31120.0,83.0,4.0,258.0,1
323000.0,31120.0,116.0,6.0,515.0,1
536350.0,31120.0,175.0,6.0,950.0,1
240000.0,31120.0,82.0,4.0,447.0,1
100335.0,31160.0,48.0,3.0,238.0,1
89908.0,31160.0,80.0,4.0,980.0,1
76000.0,31160.0,70.0,3.0,89.0,1
67859.0,31160.0,60.0,3.0,48.0,1
148840.0,31160.0,76.0,4.0,1110.0,1
273000.0,31290.0,96.0,4.0,0.0,0
269000.0,31290.0,143.0,5.0,495.0,1
130000.0,31290.0,97.0,4.0,77.0,1
206500.0,31290.0,95.0,3.0,112.0,1
411500.0,31290.0,150.0,4.0,2853.0,1
369000.0,31420.0,140.0,4.0,3638.0,1
258260.0,31220.0,176.0,8.0,1105.0,1
200735.0,31220.0,104.0,4.0,2155.0,1
373000.0,31470.0,110.0,5.0,500.0,1
382810.0,31470.0,134.0,5.0,620.0,1
452000.0,31470.0,150.0,4.0,2096.0,1
282950.0,31470.0,97.0,4.0,0.0,0
397100.0,31470.0,115.0,4.0,825.0,1
400000.0,31470.0,139.0,4.0,500.0,1
170000.0,31470.0,70.0,3.0,240.0,1
438000.0,31470.0,132.0,5.0,500.0,1
279000.0,31470.0,108.0,4.0,1393.0,1
237100.0,31470.0,73.0,3.0,392.0,1
356300.0,31470.0,142.0,6.0,0.0,0
385000.0,31470.0,103.0,5.0,1000.0,1
331520.0,31470.0,97.0,6.0,985.0,1
210000.0,31470.0,93.0,4.0,0.0,0
322107.0,31470.0,91.0,3.0,917.0,1
334200.0,31470.0,103.0,5.0,517.0,1
404000.0,31470.0,135.0,6.0,824.0,1
405700.0,31470.0,121.0,4.0,500.0,1
382600.0,31470.0,140.0,5.0,800.0,1
262750.0,31470.0,99.0,5.0,1000.0,1
305100.0,31470.0,124.0,5.0,1567.0,1
475000.0,31470.0,146.0,6.0,500.0,1
140000.0,31470.0,182.0,6.0,500.0,1
126000.0,31470.0,107.0,4.0,500.0,1
374700.0,31470.0,110.0,4.0,696.0,1
191635.0,31470.0,83.0,3.0,602.0,1
420000.0,31470.0,119.0,4.0,0.0,0
367000.0,31470.0,130.0,6.0,1107.0,1
401000.0,31470.0,160.0,7.0,705.0,1
527000.0,31470.0,202.0,6.0,1428.0,1
153000.0,31470.0,70.0,3.0,219.0,1
390000.0,31470.0,148.0,5.0,500.0,1
