valeur_fonciere,code_postal,nom_commune,type_local,surface_reelle_bati,nombre_pieces_principales,nature_culture,surface_terrain,year,month,log_valeur_fonciere,prix_mcarre
101200.0,31440,Cierp-Gaud,Maison,72.0,5.0,sols,385.0,2022,4,11.524863917209606,1405.5555555555557
45000.0,31440,Cierp-Gaud,Maison,55.0,3.0,sols,58.0,2022,5,10.714439990727769,818.1818181818181
182000.0,31440,Cierp-Gaud,Maison,85.0,6.0,sols,124.0,2022,6,12.111767460549332,2141.176470588235
242650.0,31440,Cierp-Gaud,Maison,65.0,3.0,sols,500.0,2022,6,12.399379475987038,3733.076923076923
35000.0,31440,Cierp-Gaud,Maison,50.0,2.0,sols,25.0,2022,6,10.463131911491967,700.0
42000.0,31440,Cierp-Gaud,Maison,80.0,4.0,sols,40.0,2022,7,10.645448706505872,525.0
124830.0,31440,Cierp-Gaud,Maison,67.0,4.0,sols,258.0,2022,9,11.734716101507827,1863.134328358209
215000.0,31440,Cierp-Gaud,Maison,91.0,4.0,sols,494.0,2022,10,12.278397958261774,2362.6373626373625
418000.0,31440,Cierp-Gaud,Maison,300.0,7.0,jardins,573.0,2022,10,12.94323910384853,1393.3333333333333
96520.0,31440,Cierp-Gaud,Maison,58.0,2.0,jardins,270.0,2022,11,11.477515880232335,1664.1379310344828
170000.0,31440,Cierp-Gaud,Maison,60.0,3.0,sols,224.0,2022,10,12.04355959836804,2833.3333333333335
197000.0,31800,Saux-et-Pomarède,Maison,117.0,4.0,sols,549.0,2023,9,12.190964083849375,1683.7606837606838
510000.0,31320,Vieille-Toulouse,Maison,127.0,5.0,landes,4488.0,2023,4,13.1421679654829,4015.748031496063
145000.0,31320,Vieille-Toulouse,Maison,118.0,4.0,sols,2280.0,2023,5,11.884495917930655,1228.8135593220338
458500.0,31320,Vieille-Toulouse,Maison,118.0,4.0,sols,1000.0,2023,10,13.03571775170136,3885.593220338983
378000.0,31320,Vieille-Toulouse,Maison,94.0,5.0,sols,1198.0,2023,10,12.84265212010087,4021.276595744681
270000.0,31360,Arnaud-Guilhem,Maison,174.0,6.0,sols,500.0,2023,8,12.506180941677357,1551.7241379310344
478000.0,31360,Arnaud-Guilhem,Maison,303.0,7.0,sols,5375.0,2023,8,13.077368103521614,1577.5577557755776
122000.0,31360,Arnaud-Guilhem,Maison,72.0,3.0,sols,1220.0,2023,11,11.711784520403112,1694.4444444444443
160000.0,31360,Arnaud-Guilhem,Maison,83.0,5.0,sols,765.0,2023,12,11.982935344196433,1927.710843373494
420570.0,31460,Vendine,Maison,150.0,6.0,terrains d'agrément,6640.0,2022,7,12.949368590753332,2803.8
245000.0,31460,Vendine,Maison,97.0,5.0,terres,3882.0,2022,7,12.409017571151187,2525.773195876289
139115.0,31110,Cazarilh-Laspènes,Maison,50.0,2.0,sols,260.0,2023,5,11.843063396458401,2782.3
374290.0,31190,Lagrâce-Dieu,Maison,120.0,6.0,sols,381.0,2022,3,12.832788848719655,3119.0833333333335
307270.0,31190,Lagrâce-Dieu,Maison,100.0,4.0,terrains d'agrément,977.0,2022,5,12.635485373343256,3072.7
165500.0,31190,Lagrâce-Dieu,Maison,95.0,3.0,sols,211.0,2022,7,12.016732516077072,1742.1052631578948
216000.0,31190,Lagrâce-Dieu,Maison,106.0,5.0,sols,607.0,2022,8,12.283038316285214,2037.7358490566037
147000.0,31190,Lagrâce-Dieu,Maison,76.0,2.0,sols,95.0,2022,9,11.898194668458823,1934.2105263157894
280000.0,31190,Lagrâce-Dieu,Maison,95.0,3.0,sols,150.0,2022,11,12.54254845357358,2947.3684210526317
101400.0,31160,Moncaup,Maison,110.0,3.0,sols,350.0,2023,2,11.52683823202353,921.8181818181819
36500.0,31160,Moncaup,Maison,82.0,5.0,sols,320.0,2023,9,10.505094936455558,445.1219512195122
109678.0,31430,Lussan-Adeilhac,Maison,188.0,6.0,sols,1746.0,2022,2,11.6053131967621,583.3936170212766
549600.0,31430,Lussan-Adeilhac,Maison,200.0,6.0,sols,3620.0,2022,6,13.216947839393717,2748.0
306000.0,31430,Lussan-Adeilhac,Maison,158.0,4.0,terrains d'agrément,3995.0,2022,8,12.631343648903034,1936.7088607594937
216000.0,31430,Lussan-Adeilhac,Maison,140.0,5.0,sols,1550.0,2022,8,12.283038316285214,1542.857142857143
256800.0,31430,Lussan-Adeilhac,Maison,120.0,3.0,sols,2080.0,2022,9,12.456056744871358,2140.0
234300.0,31430,Lussan-Adeilhac,Maison,111.0,5.0,sols,1960.0,2022,10,12.364361892519216,2110.810810810811
115000.0,31360,Saint-Médard,Maison,105.0,5.0,sols,451.0,2022,4,11.652696102959753,1095.2380952380952
181900.0,31360,Saint-Médard,Maison,116.0,3.0,terrains d'agrément,1078.0,2022,6,12.111217862017215,1568.103448275862
333900.0,31460,Loubens-Lauragais,Maison,98.0,4.0,sols,1000.0,2023,7,12.718599820835916,3407.1428571428573
544000.0,31460,Loubens-Lauragais,Maison,215.0,6.0,sols,3882.0,2023,8,13.206706364071684,2530.232558139535
227500.0,31460,Loubens-Lauragais,Maison,118.0,4.0,terrains a bâtir,2350.0,2023,8,12.334909912967877,1927.9661016949153
77000.0,31460,Loubens-Lauragais,Maison,88.0,5.0,prés,1593.0,2023,10,11.251573687764477,875.0
262873.0,31530,Lasserre-Pradère,Maison,89.0,4.0,sols,258.0,2023,1,12.47943010890837,2953.629213483146
292500.0,31530,Lasserre-Pradère,Maison,100.0,4.0,sols,702.0,2023,1,12.586223364451623,2925.0
310000.0,31530,Lasserre-Pradère,Maison,107.0,5.0,jardins,527.0,2023,1,12.644330802262578,2897.196261682243
452150.0,31530,Lasserre-Pradère,Maison,134.0,8.0,sols,924.0,2023,1,13.021771473821605,3374.2537313432836
246300.0,31530,Lasserre-Pradère,Maison,82.0,4.0,terrains a bâtir,433.0,2023,2,12.414309644189709,3003.6585365853657
180000.0,31530,Lasserre-Pradère,Maison,45.0,1.0,sols,222.0,2023,2,12.100717685412471,4000.0
310800.0,31530,Lasserre-Pradère,Maison,117.0,4.0,sols,650.0,2023,2,12.646908114973671,2656.4102564102564
247000.0,31530,Lasserre-Pradère,Maison,92.0,3.0,sols,1291.0,2023,4,12.417147664184915,2684.782608695652
122020.0,31530,Lasserre-Pradère,Maison,45.0,1.0,sols,90.0,2023,5,11.711948440050069,2711.5555555555557
80000.0,31530,Lasserre-Pradère,Maison,49.0,3.0,sols,117.0,2023,6,11.289794413577894,1632.6530612244899
348800.0,31530,Lasserre-Pradère,Maison,115.0,5.0,landes,1629.0,2023,7,12.762256837985328,3033.0434782608695
373210.0,31530,Lasserre-Pradère,Maison,112.0,5.0,sols,390.0,2023,7,12.829899222333385,3332.2321428571427
570000.0,31530,Lasserre-Pradère,Maison,225.0,5.0,sols,1757.0,2023,7,13.25339339419516,2533.3333333333335
428000.0,31530,Lasserre-Pradère,Maison,213.0,7.0,sols,913.0,2023,8,12.966880811009803,2009.3896713615025
